"ts","val"
1644295934,20.9
1644295994,20.9
1644296054,20.9
1644296114,20.8
1644296174,20.7
1644296234,20.6
1644296294,20.5
1644296354,20.4
1644296414,20.3
1644296474,20.3
1644296534,20.2
1644296594,20.2
1644296654,20.1
1644296714,20
1644296774,19.9
1644296834,19.7
1644296894,19.6
1644296954,19.5
1644297014,19.4
1644297074,19.3
1644297134,19.2
1644297194,19.1
1644297254,19
1644297314,19
1644297374,18.9
1644297434,18.8
1644297494,18.7
1644297554,18.6
1644297614,18.6
1644297674,18.5
1644297734,18.4
1644297794,18.3
1644297854,18.3
1644297914,18.2
1644297974,18.1
1644298034,18.1
1644298094,18
1644298154,17.9
1644298214,17.9
1644298274,17.8
1644298334,17.7
1644298394,17.7
1644298454,17.6
1644298514,17.6
1644298574,17.5
1644298634,17.4
1644298694,17.4
1644298754,17.3
1644298814,17.3
1644298874,17.2
1644298934,17.2
1644298994,17.1
1644299054,17.1
1644299114,17
1644299174,17
1644299234,17
1644299294,16.9
1644299354,16.9
1644299414,16.8
1644299474,16.8
1644299534,16.8
1644299594,16.7
1644299654,16.7
1644299714,16.6
1644299774,16.6
1644299834,16.6
1644299894,16.5
1644299954,16.5
1644300014,16.5
1644300074,16.4
1644300134,16.4
1644300194,16.4
1644300254,16.4
1644300314,16.3
1644300374,16.3
1644300434,16.2
1644300494,16.2
1644300554,16.2
1644300614,16.1
1644300674,16.1
1644300734,16.1
1644300794,16.1
1644300854,16.1
1644300914,16
1644300974,16
1644301034,16
1644301094,16
1644301154,16
1644301214,15.9
1644301274,15.9
1644301334,15.9
1644301394,15.9
1644301454,15.8
1644301514,15.8
1644301574,15.8
1644301634,15.8
1644301694,15.7
1644301754,15.7
1644301814,15.7
1644301874,15.7
1644301934,15.7
1644301994,15.7
1644302054,15.7
1644302114,15.7
1644302174,15.8
1644302234,16
1644302294,16.2
1644302354,16.4
1644302414,16.5
1644302474,16.6
1644302534,16.7
1644302594,16.8
1644302654,16.8
1644302714,17
1644302774,17.1
1644302834,17.1
1644302894,17.2
1644302954,17.3
1644303014,17.4
1644303074,17.4
1644303134,17.4
1644303194,17.3
1644303254,17.3
1644303314,17.3
1644303374,17.3
1644303434,17.4
1644303494,17.4
1644303554,17.4
1644303614,17.4
1644303674,17.4
1644303734,17.5
1644303794,17.6
1644303854,17.7
1644303914,17.7
1644303974,17.7
1644304034,17.7
1644304094,17.7
1644304154,17.7
1644304214,17.8
1644304274,17.8
1644304334,18
1644304394,18.1
1644304454,18.2
1644304514,18.2
1644304574,18.1
1644304634,18.3
1644304694,18.3
1644304754,18.2
1644304814,18.3
1644304874,18.4
1644304934,18.6
1644304994,18.7
1644305054,18.7
1644305114,18.7
1644305174,18.7
1644305234,18.7
1644305294,18.8
1644305354,18.9
1644305414,19.1
1644305474,19.1
1644305534,19.1
1644305594,19.1
1644305654,19
1644305714,18.9
1644305774,18.9
1644305834,18.8
1644305894,18.8
1644305954,18.8
1644306014,18.8
1644306074,18.8
1644306134,18.7
1644306194,18.7
1644306254,18.7
1644306314,18.7
1644306374,18.7
1644306434,18.7
1644306494,18.7
1644306554,18.7
1644306614,18.8
1644306674,18.8
1644306734,18.8
1644306794,18.8
1644306854,18.8
1644306914,18.8
1644306974,18.8
1644307034,18.8
1644307094,18.8
1644307154,18.8
1644307214,18.8
1644307274,18.8
1644307334,18.9
1644307394,18.9
1644307454,18.9
1644307514,18.9
1644307574,18.9
1644307634,18.9
1644307694,18.9
1644307754,18.9
1644307814,19
1644307874,19
1644307934,19
1644307994,19
1644308054,19
1644308114,19
1644308174,19
1644308234,19.1
1644308294,19.1
1644308354,19.1
1644308414,19.2
1644308474,19.3
1644308534,19.4
1644308594,19.4
1644308654,19.5
1644308714,19.5
1644308774,19.6
1644308834,19.6
1644308894,19.6
1644308954,19.6
1644309014,19.7
1644309074,19.7
1644309134,19.7
1644309194,19.7
1644309254,19.7
1644309314,19.7
1644309374,19.7
1644309434,19.8
1644309494,19.8
1644309554,19.8
1644309614,19.8
1644309674,19.8
1644309734,19.8
1644309794,19.8
1644309854,19.8
1644309914,19.8
1644309974,19.8
1644310034,19.8
1644310094,19.8
1644310154,19.8
1644310214,19.9
1644310274,19.9
1644310334,19.9
1644310394,19.9
1644310454,19.9
1644310514,19.9
1644310574,19.9
1644310634,19.9
1644310694,19.9
1644310754,19.9
1644310814,20
1644310874,20
1644310934,20
1644310994,20
1644311054,20
1644311114,20
1644311174,20
1644311234,20
1644311294,20.1
1644311354,20.1
1644311414,20.1
1644311474,20.1
1644311534,20.2
1644311594,20.2
1644311654,20.2
1644311714,20.2
1644311774,20.2
1644311834,20.2
1644311894,20.2
1644311954,20.2
1644312014,20.2
1644312074,20.2
1644312134,20.2
1644312194,20.2
1644312254,20.2
1644312314,20.2
1644312374,20.2
1644312434,20.3
1644312494,20.3
1644312554,20.3
1644312614,20.3
1644312674,20.3
1644312734,20.3
1644312794,20.3
1644312854,20.3
1644312914,20.3
1644312974,20.3
1644313034,20.3
1644313094,20.3
1644313154,20.3
1644313214,20.3
1644313274,20.3
1644313334,20.3
1644313394,20.3
1644313454,20.3
1644313514,20.3
1644313574,20.3
1644313634,20.3
1644313694,20.3
1644313754,20.3
1644313814,20.3
1644313874,20.3
1644313934,20.2
1644313994,20.3
1644314054,20.3
1644314114,20.3
1644314174,20.3
1644314234,20.3
1644314294,20.3
1644314354,20.3
1644314414,20.2
1644314474,20.3
1644314534,20.3
1644314594,20.3
1644314654,20.3
1644314714,20.3
1644314774,20.3
1644314834,20.3
1644314894,20.3
1644314954,20.2
1644315014,20.3
1644315074,20.3
1644315134,20.3
1644315194,20.3
1644315254,20.2
1644315314,20.2
1644315374,20.2
1644315434,20.2
1644315494,20.2
1644315554,20.2
1644315614,20.2
1644315674,20.2
1644315734,20.2
1644315794,20.2
1644315854,20.2
1644315914,20.2
1644315974,20.3
1644316034,20.3
1644316094,20.3
1644316154,20.3
1644316214,20.3
1644316274,20.3
1644316334,20.3
1644316394,20.3
1644316454,20.3
1644316514,20.3
1644316574,20.3
1644316634,20.3
1644316694,20.3
1644316754,20.3
1644316814,20.3
1644316874,20.3
1644316934,20.3
1644316994,20.3
1644317054,20.3
1644317114,20.3
1644317174,20.3
1644317234,20.3
1644317294,20.3
1644317354,20.3
1644317414,20.3
1644317474,20.3
1644317534,20.3
1644317594,20.3
1644317654,20.3
1644317714,20.3
1644317774,20.3
1644317834,20.3
1644317894,20.3
1644317954,20.3
1644318014,20.3
1644318074,20.3
1644318134,20.3
1644318194,20.3
1644318254,20.3
1644318314,20.3
1644318374,20.3
1644318434,20.3
1644318494,20.3
1644318554,20.3
1644318614,20.3
1644318674,20.3
1644318734,20.3
1644318794,20.3
1644318854,20.3
1644318914,20.3
1644318974,20.4
1644319034,20.3
1644319094,20.4
1644319154,20.4
1644319214,20.4
1644319274,20.4
1644319334,20.4
1644319394,20.4
1644319454,20.4
1644319514,20.4
1644319574,20.4
1644319634,20.4
1644319694,20.4
1644319754,20.4
1644319814,20.4
1644319874,20.4
1644319934,20.4
1644319994,20.4
1644320054,20.4
1644320114,20.4
1644320174,20.4
1644320234,20.4
1644320294,20.4
1644320354,20.4
1644320414,20.4
1644320474,20.4
1644320534,20.4
1644320594,20.4
1644320654,20.4